law_index,condition,seed,n_meas,sum_P,sum_M,sum_PP,sum_MM,sum_PM,mean_P,mean_M,mean_turnover,probe_count,cross_cadence_endpoints,eligible_seed,n_tracks,long_tracks,mean_track_obs,max_track_obs,censored_tracks,births,splits,merges,ambiguous
12,OFF,7001,767,621.6249714237554,585.3484306998199,511.23181599430507,483.4971934435793,484.9698493425143,0.8104628049853395,0.763166141720756,0.23683385827924458,28,2,True,70,12,5.5,60,61,70,4,7,0
12,OFF,7002,1092,929.5715462281948,925.5037027681706,800.324588370523,822.579217499013,801.0245754603948,0.8512559947144641,0.8475308633408155,0.1524691366591851,15,0,False,41,16,11.073170731707316,61,29,41,4,7,0
12,OFF,7003,863,708.93088083771,652.9149986841361,589.3216201013639,527.5887064950288,546.6760278879962,0.8214726313299073,0.7565643090198564,0.24343569098014264,15,0,False,99,16,4.8686868686868685,52,84,99,2,3,1
12,ON,7001,458,350.98801362434415,310.4616251562709,274.82061192447884,243.2685506384726,246.9935900069784,0.7663493747256422,0.677863810384871,0.3221361896151287,4,0,False,102,11,3.2549019607843137,31,90,102,3,4,1
12,ON,7002,383,288.834267507162,265.4272545587716,223.6687788949175,211.17158465527257,208.15807911319803,0.754136468687107,0.6930215523727719,0.30697844762722787,1,0,False,112,10,2.75,22,103,112,7,4,0
12,ON,7003,534,418.75990147700173,390.77174369382647,336.3552396426191,320.1151157646832,317.55698978130647,0.7841945720543103,0.7317822915614728,0.2682177084385278,8,0,False,94,14,3.776595744680851,22,76,94,5,3,0
13,OFF,7001,687,536.9848396604365,487.59596180925945,430.5855357316724,384.20014068952304,397.2641666446794,0.7816373211942307,0.7097466693002321,0.2902533306997672,3,0,False,119,17,3.8487394957983194,41,107,119,13,12,11
13,OFF,7002,894,719.7777583771352,675.2317964646298,591.0177247550881,560.0047919798598,560.9833509698985,0.8051205350974667,0.7552928372087582,0.24470716279124244,8,0,False,107,14,4.654205607476635,61,95,107,6,14,3
13,OFF,7003,959,763.528164098793,685.4743302042385,620.4820544839246,551.9229141274071,566.9839256809337,0.7961711825847685,0.7147803234663592,0.28521967653363883,28,0,False,105,22,5.0285714285714285,38,96,105,13,19,1
13,ON,7001,395,288.87251602247727,241.4301850668059,217.51986739525867,174.71639431116736,185.97500370411504,0.7313228253733601,0.611215658396977,0.38878434160302305,5,0,False,153,8,2.588235294117647,17,144,153,8,14,2
13,ON,7002,444,332.28510089966863,317.706881856492,253.94157917497049,248.28050903905378,244.08892720627392,0.7483898668911456,0.7155560402173242,0.2844439597826754,5,0,False,134,8,2.6641791044776117,25,122,134,11,5,1
13,ON,7003,465,340.44398551486967,294.30819544975463,255.34575571235,215.20952688986844,224.37536412281926,0.7321376032577842,0.6329208504295799,0.36707914957041965,4,0,False,139,10,2.762589928057554,34,124,139,9,6,0
14,OFF,7001,535,417.25305881943103,270.1861538099465,330.3172830073885,176.05072208365604,218.9116458059654,0.7799122594755721,0.5050208482428907,0.49497915175710944,80,0,False,192,10,2.6302083333333335,27,180,192,18,10,3
