law_index,condition,seed,n_meas,mean_P,mean_M,min_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,total_mass_drift,exchange_rate
39,OFF,8003,83,0.9852067214608803,0.9896214869033817,0.9638231858559954,0,False,1,31,1,0.00022460740984997553,2.5721498958200147e-16,0.0
39,ON,8001,258,0.9500460065877925,0.8639596249666084,0.2833273585580144,5,True,28,23,8,0.00029325335389357194,2.2759536348229757e-16,0.11947069943289225
39,ON,8002,319,0.9418197725215504,0.8696263329637783,0.18513382225113395,2,True,28,27,6,0.00030833050953531986,2.0065203825996125e-16,0.11947069943289225
39,ON,8003,273,0.964635240436635,0.8915160583028073,0.4752622023815122,2,True,22,27,6,0.0003286076483014763,2.5721498958200147e-16,0.11947069943289225
40,OFF,8001,83,0.9897049347285481,0.9874723691876015,0.9490261155321312,0,False,1,31,1,7.41567425737328e-05,1.1102648917714594e-16,0.0
40,OFF,8002,83,0.9877757854866571,0.9919088519474081,0.966931253225196,0,False,1,31,1,0.00013475678621992712,1.9576577495590876e-16,0.0
40,OFF,8003,130,0.972069940966849,0.9662653568851074,0.846064854350831,0,False,2,31,2,8.565907094826514e-05,0.0,0.0
40,ON,8001,98,0.9649622629365189,0.8739163607847159,0.22779056314745455,10,True,11,27,1,0.0006308079875399321,3.3307946753143786e-16,0.15207939508506618
40,ON,8002,294,0.9389899413954703,0.7811383411891276,0.17384232741232572,42,False,45,25,6,0.0005030850668060515,1.9576577495590876e-16,0.15207939508506618
40,ON,8003,162,0.9721287755620146,0.8980050648583008,0.22372625215141337,3,True,15,31,3,0.00016073767227989263,2.509513095529033e-16,0.15207939508506618
41,OFF,8001,83,0.9906675937115983,0.9885032402985713,0.9620886500379044,0,False,1,31,1,0.0005012060040128128,2.1677411153758713e-16,0.0
41,OFF,8002,83,0.9899425926067339,0.9921296411944339,0.9715986893446347,0,False,1,31,1,0.00016466270053402837,1.911118339868649e-16,0.0
41,OFF,8003,83,0.9898491759696704,0.9879449174106697,0.9586962874129633,0,False,1,31,1,0.0001401245675339635,1.2249272126566177e-16,0.0
41,ON,8001,56,0.9217733111601911,0.8349299135965709,0.4479456734018626,0,False,8,18,1,0.0010521052190238548,0.0,0.18468809073724007
41,ON,8002,40,0.9138341804039083,0.8308748006687294,0.08018167461506988,1,False,21,7,0,0.0007876763749148035,0.0,0.18468809073724007
41,ON,8003,23,0.7823400503732243,0.4660720239906881,0.08301557423099139,3,True,1,11,1,0.0001266203054361527,3.6747816379698534e-16,0.18468809073724007
42,OFF,8001,83,0.9909489580759139,0.9864744667091834,0.9524267513249333,0,False,1,31,1,0.00029477446435629884,2.1174040557678923e-16,0.0
42,OFF,8002,83,0.9928620401816795,0.9912890817625905,0.9670854506694578,0,False,1,31,1,0.00015919255232320356,1.8667403110027856e-16,0.0
42,OFF,8003,127,0.9710095583592947,0.9629505580217056,0.8425677913221746,0,False,2,31,2,0.00012899457683224582,2.39296641993143e-16,0.0
42,ON,8001,50,0.9596013958846956,0.9140779908439274,0.5205845341155112,0,False,8,15,1,0.0007450766294130012,2.1174040557678923e-16,0.21729678638941397
42,ON,8002,82,0.9304774001905854,0.8268469331100764,0.21337259678616918,3,True,6,25,1,0.0008408902318978959,1.8667403110027856e-16,0.21729678638941397
42,ON,8003,28,0.8132145089143075,0.47276941501016584,0.05196216342190023,4,True,2,12,1,3.5988370083190725e-05,2.39296641993143e-16,0.21729678638941397
43,OFF,8001,83,0.992137537795009,0.9879552553208129,0.9612271289020248,0,False,1,31,1,0.0012464038259617633,0.0,0.0
43,OFF,8002,83,0.9952373134944306,0.9918667277899779,0.9706916723297916,0,False,1,31,1,0.00039723222085490286,1.8243765118511852e-16,0.0
43,OFF,8003,83,0.9937150417950792,0.9874618290906786,0.9563255579804255,0,False,1,31,1,0.0002190238119444438,1.169330223502364e-16,0.0
43,ON,8001,2002,0.9849085247579924,0.8957702017376292,0.048768704652716224,35,True,28,30,26,7.122093321939702e-05,4.1387033886532e-16,0.2499054820415879
43,ON,8002,2034,0.9835138825117666,0.9016691446017607,0.15901802628255485,14,True,30,30,27,6.709394482808349e-05,1.8243765118511852e-16,0.2499054820415879
43,ON,8003,1927,0.9808202489737509,0.8964951431437312,0.13382806218285173,29,True,33,30,26,9.24716717439711e-05,2.338660447004728e-16,0.2499054820415879
44,OFF,8001,83,0.989781228172182,0.9887604353041602,0.950338788264527,0,False,1,31,1,0.00025611279644040794,2.023431935898451e-16,0.0
44,OFF,8002,83,0.9879178614160941,0.992472421783356,0.9656426737194109,0,False,1,31,1,0.00025129863028140953,1.7838928526762482e-16,0.0
44,OFF,8003,83,0.9877440080019527,0.9882672205195853,0.9445374286741948,0,False,1,31,1,0.00010029586262667764,1.1433823087360268e-16,0.0
44,ON,8001,1414,0.9475563158935559,0.8599516013021914,0.27552124485572155,18,False,77,28,41,0.00024125907017038425,2.023431935898451e-16,0.2825141776937618
44,ON,8002,1859,0.9416852396810653,0.8499993520200155,0.23561709222925112,21,False,98,27,44,0.00028436439807079107,1.7838928526762482e-16,0.2825141776937618
44,ON,8003,1179,0.9476407739146558,0.8674752468716661,0.19380281928308332,3,False,76,27,30,0.00029236200036042063,2.2867646174720537e-16,0.2825141776937618
45,OFF,8001,83,0.9928691362316563,0.9926988683182623,0.9789382350138991,0,False,1,31,1,0.0010038498354317253,0.0,0.0
