law_index,seed,n_meas,mean_P,mean_M,probe_count,eligible_seed,n_tracks,max_track_obs,long_tracks,mean_abs_circulation,mean_entity_mass,mean_entities_per_snapshot
198,8003,83,0.9924021132181976,0.9880835451066622,0,False,1,31,1,0.000178621240284516,852.9446331377429,1.0
199,8001,83,0.995647042157577,0.9945285823699171,0,False,1,31,1,0.0012581770836145709,926.6652311568906,1.0
199,8002,83,0.9971931207366495,0.9957356351627851,0,False,1,31,1,0.0006588958273706985,1091.5300866920713,1.0
199,8003,83,0.995999394229719,0.9932927663870884,0,False,1,31,1,0.00042816669276991143,820.2718765026979,1.0
200,8001,75,0.9942444620432915,0.9902797492596623,0,False,4,24,1,0.00020111744181106593,788.4896114583324,1.1612903225806452
200,8002,83,0.9956515409142351,0.9924873162586133,0,False,1,31,1,9.725458543922835e-05,1082.7630337969335,1.0
200,8003,148,0.9855077603489922,0.9759129164401814,0,False,2,31,2,9.265471143466216e-05,451.283828502632,1.8064516129032258
201,8001,83,0.9945349076018813,0.9910174147292249,0,False,1,31,1,0.000947614266555944,925.8882148405925,1.0
201,8002,83,0.9950948089085095,0.9938992729151964,0,False,1,31,1,0.0004239175794206672,1090.3522334815582,1.0
201,8003,130,0.9835194506869678,0.9788407166859554,0,False,2,31,2,0.00019045784271688453,508.4242713603894,1.6129032258064515
202,8001,79,0.9946012965735674,0.9943187864410804,0,False,3,29,1,5.93784188385857e-05,835.8225708476699,1.064516129032258
202,8002,83,0.9935540432012557,0.9960148943231383,0,False,1,31,1,6.748623308256865e-05,1062.0770340705699,1.0
202,8003,133,0.9824818642352797,0.9826990943300317,0,False,2,31,2,2.6937676040726603e-05,479.22532658796877,1.6451612903225807
203,8001,83,0.9971743657376638,0.9971960232545828,0,False,1,31,1,0.0004010194040348192,905.6551602367346,1.0
203,8002,83,0.9934050370684913,0.9977379940082456,0,False,1,31,1,0.00029708404326397577,1072.509109911409,1.0
203,8003,89,0.9775983684275819,0.9827019099618775,0,False,2,31,1,0.00018157887824171397,687.9741548641529,1.1612903225806452
204,8001,92,0.9926171219253288,0.9897331386958526,0,False,5,20,2,0.0001712310307310451,595.0223195931504,1.4838709677419355
204,8002,83,0.9899473904436396,0.9930325329362906,0,False,1,31,1,9.347992352178494e-05,1057.0797611558307,1.0
204,8003,142,0.9806332686820175,0.9769418168478848,0,False,2,31,2,9.310398609200927e-05,452.5724878574925,1.7419354838709677
205,8001,98,0.9908309966944613,0.9836271188358037,0,False,5,24,1,0.000299750997446144,568.8000506672121,1.5806451612903225
205,8002,83,0.9880302360297343,0.9950619925669634,0,False,1,31,1,0.00030155427161306314,1065.6878538584854,1.0
205,8003,139,0.9791033437420156,0.9791710877468697,0,False,2,31,2,9.154046465888024e-05,466.75103542196365,1.7096774193548387
206,8001,83,0.9877483955773534,0.9894808388228957,0,False,1,31,1,0.00023916672408349238,978.3821577987236,1.0
206,8002,83,0.9780749207647994,0.992686939135615,0,False,1,31,1,2.0230069796659617e-05,1130.5759969596395,1.0
206,8003,83,0.9772726170888044,0.9891258580849566,0,False,1,31,1,0.00017858727559822747,861.9926985818187,1.0
207,8001,83,0.9885722242457775,0.9897272670188442,0,False,1,31,1,0.00036953981763206817,973.0496513295419,1.0
207,8002,83,0.9788557414168676,0.9926675398278272,0,False,1,31,1,4.35900817539089e-05,1128.685811306462,1.0
207,8003,83,0.9793914766843851,0.9893250651735368,0,False,1,31,1,0.0003523111907890717,858.1100324522438,1.0
208,8001,83,0.98855328086392,0.988312808389961,0,False,1,31,1,7.383254133621649e-05,973.3939514537648,1.0
208,8002,83,0.9815760139183454,0.9921302019519985,0,False,1,31,1,5.361327418235692e-05,1128.1801882806697,1.0
208,8003,83,0.9745193096988702,0.9800646467511305,0,False,2,31,1,5.8864676217632505e-05,833.951555291067,1.032258064516129
209,8001,83,0.989816486667916,0.9883775495706915,0,False,1,31,1,0.00029416364770132227,969.9298566824442,1.0
209,8002,83,0.9840567336914209,0.9920884755079049,0,False,1,31,1,0.000155606463250052,1128.0461386641969,1.0
209,8003,83,0.985310871648633,0.9879224397154139,0,False,1,31,1,0.00019341426304027415,859.1927702873187,1.0
210,8001,83,0.9928300281887144,0.993073359764732,0,False,1,31,1,0.000499034500196721,922.0665459347928,1.0
210,8002,83,0.9921517067130505,0.9945923717510248,0,False,1,31,1,8.869514819548117e-05,1091.473104541908,1.0
210,8003,83,0.9910402399227914,0.9919056094304096,0,False,1,31,1,0.00017730493617705318,817.6655305460843,1.0
211,8001,83,0.9935205060886656,0.9939514678454993,0,False,1,31,1,0.0008934050322158446,925.0627036145689,1.0
211,8002,83,0.9939354440624801,0.9949131439745674,0,False,1,31,1,0.00026364747843456165,1093.6734928358517,1.0
211,8003,83,0.992777261598467,0.9923311134611602,0,False,1,31,1,0.0003439118655547788,820.5648962357013,1.0
212,8001,83,0.9920927420448041,0.9864684248457009,0,False,1,31,1,0.0003253166942328715,922.2334944921778,1.0
212,8002,83,0.9944980083984644,0.9912092279166292,0,False,1,31,1,9.375249064453973e-05,1088.681376767455,1.0
212,8003,151,0.9853655811088058,0.9758260801246151,0,False,2,31,2,0.00011789097804646998,446.46076964129907,1.8387096774193548
213,8001,83,0.9941999140371128,0.9903589564979784,0,False,1,31,1,0.0010317367301489967,926.667083982277,1.0
213,8002,83,0.9959925013695328,0.9931355616286531,0,False,1,31,1,0.0003499759763366309,1093.4160811045915,1.0
213,8003,83,0.9948345067791207,0.9898140194812765,0,False,1,31,1,0.0002556566494097227,821.2416712827581,1.0
214,8001,130,0.9531148880954519,0.9511611121437166,0,False,10,18,4,0.00041546019395896904,405.0739926924775,2.2903225806451615
214,8002,83,0.9939808559460609,0.9904588370090447,0,False,1,31,1,0.00024692122961731343,1091.672932129018,1.0
214,8003,154,0.9865913343337388,0.9753747182030481,0,False,2,31,2,0.00013533560209722125,442.2492980471143,1.8709677419354838
215,8001,83,0.9950016505510358,0.9956736881954896,0,False,1,31,1,0.0004079648523164757,927.7721437571621,1.0
215,8002,83,0.9950153503993466,0.9964857002519413,0,False,1,31,1,0.00022949540864495763,1091.2949561927765,1.0
215,8003,83,0.9938773249570169,0.9944612533619774,0,False,1,31,1,0.00016142689705376647,818.7458617923063,1.0
216,8001,83,0.9952412869945207,0.9940039009156543,0,False,1,31,1,0.00024998639019873373,918.7230146270816,1.0
216,8002,83,0.9972896489220658,0.9957953995030183,0,False,1,31,1,9.228339951987099e-05,1085.5771855249393,1.0
216,8003,133,0.9845421458018553,0.9813242646234169,0,False,2,31,2,6.085023116530962e-05,494.049096594803,1.6451612903225807
217,8001,83,0.9957797186827374,0.9936758686732681,0,False,1,31,1,0.0004520245177398949,924.4203419285471,1.0
