law_index,seed,snapshot_cadence,tracks,mean_track_observations,median_track_observations,mean_lifetime_steps,median_lifetime_steps,complex_tracks,birth_events,disappearance_events,continuity_events,split_events,merge_events,ambiguity_events
25,2002,10,18,18.27777777777778,4.5,172.77777777777777,35.0,10,18,13,311,3,5,10
25,2002,30,12,9.5,7.0,255.0,180.0,4,12,7,102,2,1,4
25,2002,60,12,4.916666666666667,3.5,235.0,150.0,4,12,7,47,1,1,2
25,2003,10,19,20.94736842105263,3.0,199.47368421052633,20.0,3,19,12,379,1,1,0
25,2003,30,14,9.928571428571429,10.0,267.85714285714283,270.0,4,14,7,125,2,0,0
25,2003,60,11,6.7272727272727275,8.0,343.6363636363636,420.0,2,11,4,63,1,0,0
26,2001,10,27,10.407407407407407,4.0,94.07407407407408,30.0,11,27,23,254,4,5,0
26,2001,30,19,5.105263157894737,2.0,123.15789473684211,30.0,8,19,15,78,3,2,0
26,2001,60,14,3.7142857142857144,1.0,162.85714285714286,0.0,0,14,10,38,0,0,0
26,2002,10,40,5.825,2.5,48.25,15.0,21,40,38,193,7,10,0
26,2002,30,24,3.25,2.0,67.5,30.0,5,24,22,54,2,1,1
26,2002,60,19,2.263157894736842,1.0,75.78947368421052,0.0,0,19,17,24,0,0,0
26,2003,10,51,3.6470588235294117,2.0,26.470588235294116,10.0,8,51,47,135,2,3,0
26,2003,30,30,2.0,1.0,30.0,0.0,2,30,26,30,1,0,0
26,2003,60,20,1.75,1.0,45.0,0.0,0,20,16,15,0,0,0
27,2001,10,40,5.125,2.0,41.25,10.0,13,40,39,165,3,6,0
27,2001,30,29,2.5517241379310347,2.0,46.55172413793103,30.0,4,29,28,45,0,2,0
27,2001,60,24,1.7083333333333333,1.0,42.5,0.0,0,24,23,17,0,0,0
27,2002,10,42,5.309523809523809,3.0,43.095238095238095,20.0,10,42,41,181,4,3,0
27,2002,30,41,1.8048780487804879,1.0,24.146341463414632,0.0,0,41,40,33,0,0,0
27,2002,60,28,1.3214285714285714,1.0,19.285714285714285,0.0,0,28,27,9,0,0,0
