track_id,start_step,end_step,start_time,end_time,tau,phenotype_continuity,material_retention,start_count,end_count,interval_has_ambiguity,interval_has_split_or_merge,unresolved_sparse_alias_risk,law_index,seed,snapshot_cadence,track_observations,track_ever_complex,clean_probe_cadence_count_same_endpoint,eligible_seed_count_for_law,eligible_law
3,360,540,7.2,10.8,3.6000000000000005,0.8744721764603226,0.4782608695652174,22,46,False,False,True,263,2003,60,11,False,2,1,False
4,180,240,3.6,4.8,1.1999999999999997,0.855727348780397,0.4444444444444444,6,7,False,False,True,264,2003,10,60,False,2,1,False
9,180,240,3.6,4.8,1.1999999999999997,0.855727348780397,0.4444444444444444,6,7,False,False,True,264,2003,60,8,False,2,1,False
1,180,360,3.6,7.2,3.6,0.8240648861312571,0.46875,15,32,False,False,True,264,2003,30,16,False,2,1,False
6,180,360,3.6,7.2,3.6,0.8279648416193194,0.4444444444444444,6,7,False,False,True,264,2003,30,19,False,2,1,False
9,180,360,3.6,7.2,3.6,0.8279648416193194,0.4444444444444444,6,7,False,False,True,264,2003,60,8,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8040554603656558,0.4666666666666667,8,14,False,False,True,275,2002,30,21,False,2,1,False
1,60,240,1.2,4.8,3.5999999999999996,0.8040554603656558,0.4666666666666667,8,14,False,False,True,275,2002,60,11,False,2,1,False
1,30,60,0.6,1.2,0.6,0.8499719104739053,0.46153846153846156,9,10,False,False,True,277,2001,10,13,False,2,1,False
1,30,60,0.6,1.2,0.6,0.8499719104739053,0.46153846153846156,9,10,False,False,True,277,2001,30,21,False,2,1,False
4,0,180,0.0,3.6,3.6,0.8074035657594337,0.36363636363636365,4,11,False,False,True,287,2003,30,21,False,2,1,False
4,0,180,0.0,3.6,3.6,0.8074035657594337,0.36363636363636365,4,11,False,False,True,287,2003,60,11,False,2,1,False
5,0,180,0.0,3.6,3.6,0.8178053488186637,0.4,4,10,False,False,True,287,2003,60,11,False,2,1,False
2,0,180,0.0,3.6,3.6,0.8303388154474087,0.42857142857142855,4,6,False,False,True,294,2002,30,21,False,2,1,False
2,0,180,0.0,3.6,3.6,0.8303388154474087,0.42857142857142855,4,6,False,False,True,294,2002,60,11,False,2,1,False
54,330,360,6.6000000000000005,7.2,0.5999999999999996,0.8344648026429291,0.2857142857142857,5,4,False,False,True,298,2002,10,34,False,2,2,True
34,330,360,6.6000000000000005,7.2,0.5999999999999996,0.8344648026429291,0.2857142857142857,5,4,False,False,True,298,2002,30,11,False,2,2,True
29,120,150,2.4,3.0,0.6000000000000001,0.8591923821326798,0.42857142857142855,4,6,False,False,True,298,2003,10,49,False,2,2,True
12,120,150,2.4,3.0,0.6000000000000001,0.8591923821326798,0.42857142857142855,4,6,False,False,True,298,2003,30,18,False,2,2,True
